Gestures,Hand,HandPalmPosition,HandPalmOrientation
0,Left,"(12.3314, 392.322, -44.696)","(0.330843, 0.321162, -0.887354)"
0,Left,"(11.5653, 392.416, -45.008)","(0.325357, 0.326534, -0.887422)"
0,Left,"(10.8471, 392.47, -45.2237)","(0.322659, 0.329995, -0.887127)"
0,Left,"(10.0954, 392.373, -45.4938)","(0.322518, 0.330132, -0.887127)"
0,Left,"(9.296, 392.234, -45.691)","(0.321187, 0.332288, -0.886805)"
0,Left,"(8.37379, 391.873, -45.9305)","(0.318246, 0.342083, -0.884137)"
0,Left,"(7.47328, 391.718, -46.2133)","(0.319549, 0.332691, -0.887246)"
0,Left,"(6.5415, 391.459, -46.3822)","(0.318702, 0.333804, -0.887132)"
0,Left,"(5.62113, 391.457, -46.6113)","(0.319256, 0.330527, -0.888159)"
0,Left,"(4.55843, 391.511, -46.8954)","(0.317128, 0.327196, -0.890153)"
0,Left,"(3.50636, 391.551, -47.1004)","(0.31367, 0.331476, -0.889795)"
0,Left,"(2.4958, 391.424, -47.2951)","(0.31087, 0.340336, -0.88743)"
0,Left,"(1.47623, 391.292, -47.5362)","(0.310849, 0.33675, -0.888804)"
0,Left,"(0.399337, 391.076, -47.796)","(0.308114, 0.339354, -0.888766)"
0,Left,"(-0.610552, 390.989, -47.9534)","(0.306891, 0.335846, -0.89052)"
0,Left,"(-1.79969, 390.942, -48.0769)","(0.305559, 0.33731, -0.890424)"
0,Left,"(-2.9084, 390.557, -48.3876)","(0.303326, 0.333119, -0.892763)"
0,Left,"(-4.00823, 390.324, -48.5892)","(0.300945, 0.331952, -0.894002)"
0,Left,"(-5.14996, 390.394, -48.8139)","(0.29816, 0.334679, -0.893919)"
0,Left,"(-6.28485, 390.221, -49.0787)","(0.295161, 0.333571, -0.895327)"
0,Left,"(-7.50722, 390.077, -49.1866)","(0.290031, 0.342391, -0.893673)"
0,Left,"(-8.73898, 389.83, -49.3238)","(0.287264, 0.33839, -0.896087)"
0,Left,"(-10.0173, 389.854, -49.4815)","(0.279566, 0.349456, -0.894272)"
0,Left,"(-11.3048, 389.907, -49.5494)","(0.276534, 0.346095, -0.896519)"
0,Left,"(-12.5749, 389.9, -49.7713)","(0.272312, 0.343781, -0.8987)"
0,Left,"(-13.9132, 389.666, -49.7599)","(0.268267, 0.342405, -0.90044)"
0,Left,"(-15.1567, 389.434, -49.8528)","(0.264356, 0.345589, -0.90038)"
0,Left,"(-16.4415, 389.455, -49.9832)","(0.261829, 0.339452, -0.903448)"
0,Left,"(-17.5449, 389.035, -50.1333)","(0.259383, 0.34296, -0.902828)"
0,Left,"(-18.735, 388.759, -50.2145)","(0.258525, 0.344362, -0.902541)"
0,Left,"(-19.9076, 388.431, -50.3522)","(0.256734, 0.339063, -0.905054)"
0,Left,"(-21.0402, 388.2, -50.4762)","(0.25407, 0.334834, -0.907378)"
0,Left,"(-22.0504, 387.942, -50.6162)","(0.25462, 0.327863, -0.909766)"
0,Left,"(-23.1808, 387.822, -50.6815)","(0.251552, 0.336163, -0.907588)"
0,Left,"(-24.1761, 387.52, -50.8364)","(0.252207, 0.333238, -0.908485)"
0,Left,"(-25.2676, 387.297, -50.9471)","(0.249376, 0.326129, -0.91184)"
0,Left,"(-26.313, 387.008, -51.0996)","(0.247211, 0.324551, -0.912991)"
0,Left,"(-27.4008, 387.01, -51.2296)","(0.242923, 0.322615, -0.914827)"
0,Left,"(-28.4235, 387.159, -51.3983)","(0.240315, 0.330511, -0.912694)"
0,Left,"(-29.3938, 387.224, -51.5558)","(0.237241, 0.33499, -0.911865)"
0,Left,"(-30.4762, 387.293, -51.7879)","(0.235223, 0.328634, -0.914696)"
0,Left,"(-31.3469, 387.064, -51.9935)","(0.233639, 0.328385, -0.915192)"
0,Left,"(-32.2357, 386.984, -52.2447)","(0.232851, 0.331695, -0.914199)"
0,Left,"(-33.2019, 387.236, -52.4833)","(0.227377, 0.337369, -0.9135)"
