Gestures,Hand,HandPalmPosition,HandPalmOrientation
3,Right,"(6.34598, 345.004, 13.4854)","(0.0473254, -0.128486, -0.990582)"
3,Right,"(6.38979, 344.214, 12.8722)","(0.0462482, -0.130788, -0.990331)"
3,Right,"(6.30971, 343.665, 11.9949)","(0.0414915, -0.1267, -0.991073)"
3,Right,"(6.40863, 343.068, 11.2661)","(0.03971, -0.131497, -0.990521)"
3,Right,"(6.33167, 342.667, 10.4109)","(0.03678, -0.136339, -0.989979)"
3,Right,"(6.40908, 342.134, 9.57793)","(0.0354156, -0.141204, -0.989347)"
3,Right,"(6.35747, 341.601, 8.46329)","(0.0344317, -0.13635, -0.990062)"
3,Right,"(6.33733, 340.972, 7.529)","(0.0304046, -0.136225, -0.990211)"
3,Right,"(6.20904, 340.51, 6.41261)","(0.0265094, -0.127996, -0.99142)"
3,Right,"(6.07961, 339.92, 5.38355)","(0.0218443, -0.127455, -0.991604)"
3,Right,"(6.10778, 339.579, 4.50827)","(0.020469, -0.133065, -0.990896)"
3,Right,"(6.04029, 339.248, 3.49073)","(0.0172389, -0.138871, -0.99016)"
3,Right,"(6.15126, 338.937, 2.5313)","(0.0145361, -0.141253, -0.989867)"
3,Right,"(6.22251, 338.796, 1.45381)","(0.0151511, -0.14755, -0.988939)"
3,Right,"(6.34559, 338.43, 0.375134)","(0.0113877, -0.147399, -0.989012)"
3,Right,"(6.52953, 338.129, -0.848801)","(0.011607, -0.141999, -0.989799)"
3,Right,"(6.61718, 337.813, -2.09424)","(0.00591839, -0.142787, -0.989736)"
3,Right,"(6.83537, 337.539, -3.20168)","(0.00126387, -0.143927, -0.989588)"
3,Right,"(6.96317, 337.074, -4.62106)","(-0.00858127, -0.147911, -0.988963)"
3,Right,"(7.3339, 337.013, -5.66777)","(-0.00810918, -0.149007, -0.988803)"
3,Right,"(7.55513, 336.523, -7.0125)","(-0.0135714, -0.147476, -0.988973)"
3,Right,"(8.06474, 336.385, -8.00987)","(-0.0095378, -0.146133, -0.989219)"
3,Right,"(8.47969, 336.133, -9.29884)","(-0.0146793, -0.149959, -0.988583)"
3,Right,"(8.88372, 335.664, -10.4388)","(-0.0219566, -0.155655, -0.987567)"
3,Right,"(9.40109, 335.289, -11.8458)","(-0.023844, -0.147958, -0.988706)"
3,Right,"(9.92682, 335.05, -13.1721)","(-0.0259755, -0.147598, -0.988706)"
3,Right,"(10.4118, 334.652, -14.4404)","(-0.0273417, -0.149356, -0.988405)"
3,Right,"(11.0523, 334.269, -15.7665)","(-0.0222162, -0.137576, -0.990242)"
3,Right,"(11.5828, 333.894, -16.9686)","(-0.0250346, -0.140648, -0.989743)"
3,Right,"(12.2632, 333.466, -18.1709)","(-0.0202419, -0.1301, -0.991294)"
3,Right,"(12.849, 332.952, -19.3109)","(-0.0232161, -0.137214, -0.990269)"
3,Right,"(13.4939, 332.609, -20.5018)","(-0.0234662, -0.13327, -0.990802)"
3,Right,"(14.0831, 332.141, -21.6668)","(-0.0290326, -0.139005, -0.989866)"
3,Right,"(14.7879, 331.722, -22.8337)","(-0.0288225, -0.141124, -0.989572)"
3,Right,"(15.3327, 331.124, -24.1471)","(-0.0305152, -0.128124, -0.991289)"
3,Right,"(16.0239, 330.775, -25.2998)","(-0.0323636, -0.140711, -0.989522)"
3,Right,"(18.1132, 329.949, -28.9179)","(-0.0269602, -0.125032, -0.991786)"
3,Right,"(18.5686, 329.819, -29.8142)","(-0.0333566, -0.141593, -0.989363)"
3,Right,"(19.2777, 329.335, -30.9359)","(-0.0321137, -0.144222, -0.989024)"
3,Right,"(19.8905, 328.912, -32.1891)","(-0.0362496, -0.14081, -0.989373)"
4,Right,"(20.5498, 328.527, -33.2936)","(-0.0377158, -0.14474, -0.988751)"
4,Right,"(21.2567, 328.302, -34.4957)","(-0.0356933, -0.136909, -0.98994)"
4,Right,"(21.8674, 327.981, -35.7313)","(-0.0383888, -0.144744, -0.988724)"
4,Right,"(22.4856, 327.564, -36.9408)","(-0.0349094, -0.137936, -0.989826)"
4,Right,"(23.1748, 327.387, -38.0387)","(-0.0353769, -0.14589, -0.988668)"
4,Right,"(23.7406, 327.116, -39.1467)","(-0.0360241, -0.144338, -0.988873)"
4,Right,"(24.3381, 327.14, -40.3694)","(-0.0367006, -0.145987, -0.988605)"
4,Right,"(24.9015, 326.784, -41.4483)","(-0.0362521, -0.150186, -0.987993)"
4,Right,"(25.4538, 326.79, -42.5321)","(-0.035214, -0.147927, -0.988371)"
4,Right,"(25.955, 326.768, -43.6131)","(-0.0378338, -0.1525, -0.987579)"
4,Right,"(26.4415, 326.782, -44.6881)","(-0.0384491, -0.155258, -0.987125)"
4,Right,"(26.9179, 326.84, -45.8233)","(-0.0387901, -0.156017, -0.986992)"
4,Right,"(27.4866, 326.999, -46.8453)","(-0.0345234, -0.153064, -0.987613)"
4,Right,"(27.9223, 326.797, -47.8608)","(-0.0363779, -0.155803, -0.987118)"
4,Right,"(28.359, 326.764, -48.8993)","(-0.0374885, -0.156792, -0.98692)"
4,Right,"(28.7854, 326.89, -49.9937)","(-0.0357551, -0.153382, -0.98752)"
4,Right,"(29.2288, 326.982, -50.9284)","(-0.0332898, -0.15429, -0.987465)"
4,Right,"(29.5626, 326.755, -51.8219)","(-0.031639, -0.152962, -0.987725)"
4,Right,"(29.9203, 326.701, -52.7102)","(-0.0290796, -0.148274, -0.988519)"
4,Right,"(30.1612, 326.507, -53.4852)","(-0.0298735, -0.146444, -0.988768)"
4,Right,"(30.3506, 326.371, -54.2501)","(-0.030516, -0.147017, -0.988663)"
4,Right,"(30.6044, 326.342, -55.0182)","(-0.0300633, -0.145409, -0.988915)"
4,Right,"(30.8263, 326.322, -55.7045)","(-0.030642, -0.147681, -0.98856)"
4,Right,"(31.0213, 326.149, -56.361)","(-0.0317366, -0.150545, -0.988094)"
