Gestures,Hand,HandPalmPosition,HandPalmOrientation
3,Left,"(-61.2801, 340.66, 2.9002)","(-0.0788787, -0.0530124, -0.995474)"
3,Left,"(-60.7243, 340.117, 2.79202)","(-0.0725779, -0.0588654, -0.995624)"
3,Left,"(-60.401, 340.374, 2.64067)","(-0.0747999, -0.0582391, -0.995496)"
3,Left,"(-59.8212, 339.995, 2.47312)","(-0.0726959, -0.0527754, -0.995957)"
3,Left,"(-59.3251, 340.107, 2.39913)","(-0.075168, -0.0506281, -0.995885)"
3,Left,"(-58.6044, 339.843, 2.2898)","(-0.0700419, -0.047235, -0.996425)"
3,Left,"(-57.9512, 339.511, 2.20943)","(-0.0672148, -0.0432025, -0.996803)"
3,Left,"(-57.3867, 339.816, 2.20958)","(-0.0708963, -0.0403284, -0.996668)"
3,Left,"(-56.6557, 339.749, 2.09276)","(-0.0682108, -0.0360208, -0.99702)"
3,Left,"(-56.0441, 339.98, 2.18247)","(-0.0735657, -0.0316691, -0.996787)"
3,Left,"(-55.3653, 339.875, 2.12865)","(-0.0695594, -0.0336127, -0.997011)"
3,Left,"(-54.6802, 339.861, 1.94748)","(-0.0801063, -0.026421, -0.996436)"
3,Left,"(-54.1195, 340.289, 2.01566)","(-0.0812483, -0.0272061, -0.996323)"
3,Left,"(-53.4731, 340.195, 1.89228)","(-0.0721846, -0.0290931, -0.996967)"
3,Left,"(-52.9089, 340.344, 1.87441)","(-0.0792563, -0.0302947, -0.996394)"
3,Left,"(-52.3764, 340.641, 1.77375)","(-0.0883673, -0.0232886, -0.995816)"
3,Left,"(-51.8807, 340.913, 1.71525)","(-0.0946554, -0.0165959, -0.995372)"
3,Left,"(-51.3455, 340.752, 1.67786)","(-0.0820011, -0.0203465, -0.996424)"
3,Left,"(-51.0424, 341.102, 1.60404)","(-0.091334, -0.016842, -0.995678)"
3,Left,"(-50.7892, 341.294, 1.45499)","(-0.0981588, -0.0136561, -0.995077)"
3,Left,"(-50.5331, 341.032, 1.41384)","(-0.0848505, -0.0202464, -0.996188)"
3,Left,"(-50.4972, 341.287, 1.49221)","(-0.08468, -0.0250574, -0.996093)"
3,Left,"(-50.4531, 341.104, 1.49971)","(-0.077969, -0.0294171, -0.996522)"
3,Left,"(-50.5624, 341.425, 1.47861)","(-0.0840154, -0.028505, -0.996057)"
3,Left,"(-50.7838, 341.834, 1.38057)","(-0.0892212, -0.0279194, -0.99562)"
3,Left,"(-51.0673, 342.246, 1.32733)","(-0.0936765, -0.0267523, -0.995243)"
3,Left,"(-51.3767, 342.631, 1.23138)","(-0.0965552, -0.0224096, -0.995075)"
3,Left,"(-51.8749, 343.085, 1.13169)","(-0.100499, -0.019394, -0.994748)"
3,Left,"(-52.4381, 343.508, 1.02529)","(-0.105985, -0.0156386, -0.994245)"
3,Left,"(-53.1469, 344.109, 0.938821)","(-0.111112, -0.016385, -0.993673)"
3,Left,"(-53.8564, 344.398, 0.822707)","(-0.116701, -0.018226, -0.993)"
3,Left,"(-54.6203, 344.699, 0.668772)","(-0.122405, -0.0207462, -0.992263)"
3,Left,"(-55.3854, 345.045, 0.558942)","(-0.126379, -0.0271139, -0.991611)"
3,Left,"(-56.1234, 345.424, 0.357779)","(-0.130698, -0.0318985, -0.990909)"
3,Left,"(-56.8209, 345.764, 0.0266471)","(-0.135605, -0.0332646, -0.990204)"
3,Left,"(-57.4283, 346.306, -0.185314)","(-0.139011, -0.0319312, -0.989776)"
3,Left,"(-57.9895, 346.784, -0.383926)","(-0.147472, -0.028395, -0.988658)"
3,Left,"(-58.4212, 347.334, -0.554684)","(-0.14824, -0.0254283, -0.988624)"
3,Left,"(-58.8328, 347.756, -0.682065)","(-0.153176, -0.0267018, -0.987838)"
3,Left,"(-59.095, 348.317, -0.607999)","(-0.152365, -0.0259846, -0.987983)"
3,Left,"(-59.2527, 348.621, -0.532333)","(-0.157597, -0.0253209, -0.987179)"
3,Left,"(-59.3736, 348.933, -0.51553)","(-0.157103, -0.0258958, -0.987243)"
3,Left,"(-59.4834, 349.241, -0.425397)","(-0.157073, -0.0244142, -0.987285)"
3,Left,"(-59.4784, 349.449, -0.425371)","(-0.160658, -0.0229564, -0.986743)"
3,Left,"(-59.3753, 349.718, -0.328143)","(-0.157999, -0.0212656, -0.98721)"
3,Left,"(-59.2049, 350.117, -0.177291)","(-0.155677, -0.0202357, -0.987601)"
3,Left,"(-58.9349, 350.464, 0.0262075)","(-0.154095, -0.0217814, -0.987816)"
3,Left,"(-58.7068, 350.949, 0.286034)","(-0.150346, -0.0284594, -0.988224)"
3,Left,"(-58.4075, 351.271, 0.533177)","(-0.147778, -0.0320983, -0.9885)"
3,Left,"(-58.0314, 351.58, 0.783057)","(-0.145186, -0.033797, -0.988827)"
3,Left,"(-57.6095, 351.762, 0.977955)","(-0.144674, -0.0275326, -0.989096)"
3,Left,"(-57.2075, 352.037, 1.23512)","(-0.145157, -0.0235171, -0.989129)"
3,Left,"(-56.8018, 352.249, 1.51247)","(-0.146291, -0.0206152, -0.989027)"
3,Left,"(-56.3528, 352.236, 1.89496)","(-0.152037, -0.0268864, -0.988009)"
3,Left,"(-55.8861, 352.591, 2.16813)","(-0.150651, -0.0231424, -0.988316)"
3,Left,"(-55.441, 352.864, 2.52837)","(-0.149713, -0.0190454, -0.988546)"
3,Left,"(-54.8993, 353.14, 2.85357)","(-0.148354, -0.0175803, -0.988778)"
3,Left,"(-54.3423, 353.278, 3.19554)","(-0.147262, -0.0185518, -0.988923)"
3,Left,"(-53.7468, 353.552, 3.47261)","(-0.147917, -0.0150355, -0.988885)"
3,Left,"(-53.1632, 353.726, 3.63499)","(-0.149993, -0.008266, -0.988653)"
3,Left,"(-52.4094, 353.645, 3.93992)","(-0.15853, -0.0122098, -0.987279)"
3,Left,"(-51.5888, 353.601, 4.33045)","(-0.162521, -0.0211614, -0.986478)"
3,Left,"(-50.7571, 353.567, 4.65303)","(-0.16603, -0.0234959, -0.985841)"
3,Left,"(-49.8018, 353.539, 4.94199)","(-0.16812, -0.0248999, -0.985452)"
3,Left,"(-48.8076, 353.681, 5.23024)","(-0.168788, -0.0292105, -0.98522)"
3,Left,"(-47.8339, 353.724, 5.57109)","(-0.168538, -0.0269202, -0.985327)"
3,Left,"(-46.674, 353.786, 5.93576)","(-0.16734, -0.0327914, -0.985354)"
3,Left,"(-45.526, 353.918, 6.25119)","(-0.165765, -0.0312056, -0.985671)"
3,Left,"(-44.3216, 353.947, 6.60289)","(-0.162709, -0.0346471, -0.986066)"
3,Left,"(-43.0391, 354.076, 6.95075)","(-0.161605, -0.0269348, -0.986488)"
3,Left,"(-41.7236, 354.049, 7.28589)","(-0.157923, -0.0294696, -0.987011)"
3,Left,"(-40.364, 354.274, 7.67805)","(-0.155633, -0.0308543, -0.987333)"
3,Left,"(-38.8743, 353.767, 7.84488)","(-0.141667, -0.022998, -0.989647)"
3,Left,"(-37.3627, 353.237, 8.00384)","(-0.132665, -0.0170624, -0.991014)"
3,Left,"(-35.8847, 352.958, 8.20258)","(-0.128057, -0.0149695, -0.991654)"
3,Left,"(-34.346, 352.587, 8.38488)","(-0.123348, -0.0153961, -0.992244)"
3,Left,"(-32.8437, 352.558, 8.57697)","(-0.121313, -0.0128472, -0.992531)"
3,Left,"(-31.3072, 352.61, 8.62571)","(-0.117549, -0.00758302, -0.993038)"
3,Left,"(-29.7522, 352.71, 8.76222)","(-0.113077, -0.000713353, -0.993586)"
3,Left,"(-28.1232, 352.846, 9.05485)","(-0.109486, -0.000132765, -0.993988)"
3,Left,"(-22.8778, 353.226, 10.2679)","(-0.104826, -0.00695799, -0.994466)"
3,Left,"(-21.3168, 353.571, 10.804)","(-0.0972403, 0.00447081, -0.995251)"
3,Left,"(-19.4851, 353.487, 11.2281)","(-0.0936365, -0.0112225, -0.995543)"
3,Left,"(-17.7045, 353.553, 11.6246)","(-0.0918666, -0.00893424, -0.995731)"
3,Left,"(-15.7325, 353.471, 11.8624)","(-0.0848992, -0.0120876, -0.996316)"
3,Left,"(-13.7697, 353.422, 12.1272)","(-0.0807462, -0.0139503, -0.996637)"
3,Left,"(-11.7679, 353.07, 12.2537)","(-0.0776882, -0.0177154, -0.99682)"
3,Left,"(-9.66417, 352.84, 12.3161)","(-0.0730475, -0.0189198, -0.997149)"
3,Left,"(-7.58917, 352.528, 12.3791)","(-0.066499, -0.00581609, -0.99777)"
3,Left,"(-5.29188, 352.35, 12.3412)","(-0.0580458, -0.00151147, -0.998313)"
3,Left,"(-3.10667, 352.358, 12.3682)","(-0.0487446, 0.00880716, -0.998772)"
3,Left,"(-0.613969, 351.683, 12.6279)","(-0.0428776, -0.00271815, -0.999077)"
3,Left,"(1.9106, 351.292, 13.015)","(-0.0361598, -0.00479045, -0.999335)"
3,Left,"(4.62905, 350.807, 13.3032)","(-0.0320312, -0.00417573, -0.999478)"
3,Left,"(7.36944, 350.534, 13.6052)","(-0.0233624, 9.15606e-005, -0.999727)"
3,Left,"(10.2183, 349.727, 14.0944)","(-0.0138737, -0.00399595, -0.999896)"
3,Left,"(13.0884, 349.476, 14.6163)","(-0.0086864, -0.0106289, -0.999906)"
