Gestures,Hand,HandPalmPosition,HandPalmOrientation
1,Right,"(5.5308, 351.542, 9.05902)","(0.0424174, 0.00422733, -0.999091)"
1,Right,"(5.57561, 351.686, 9.09002)","(0.0398434, 0.00306742, -0.999201)"
1,Right,"(5.8178, 351.361, 8.97516)","(0.0463686, 0.000223012, -0.998924)"
1,Right,"(5.95032, 351.071, 8.78491)","(0.0495439, 0.0013049, -0.998771)"
1,Right,"(5.94855, 350.864, 8.73059)","(0.0476042, 0.0031403, -0.998861)"
1,Right,"(5.90976, 350.689, 8.73032)","(0.0505916, 0.00204775, -0.998717)"
1,Right,"(5.80763, 350.906, 8.80739)","(0.0446925, 0.0026948, -0.998997)"
1,Right,"(5.80341, 350.914, 8.7506)","(0.0463152, 0.00208388, -0.998925)"
1,Right,"(5.6664, 351.284, 8.75307)","(0.0429262, 0.00393977, -0.99907)"
1,Right,"(5.66721, 351.312, 8.67724)","(0.0468205, 0.00391595, -0.998896)"
1,Right,"(5.45724, 351.299, 8.50788)","(0.0466695, 0.00682816, -0.998887)"
1,Right,"(5.15697, 351.32, 8.48056)","(0.0425348, 0.0097065, -0.999048)"
1,Right,"(4.79825, 351.296, 8.39937)","(0.0446682, 0.00945886, -0.998957)"
1,Right,"(4.36077, 351.665, 8.46324)","(0.0372343, 0.0140723, -0.999207)"
1,Right,"(4.04239, 351.703, 8.33135)","(0.038538, 0.0133977, -0.999167)"
1,Right,"(3.51845, 351.963, 8.2086)","(0.0315977, 0.0154766, -0.999381)"
1,Right,"(3.28208, 351.887, 7.99898)","(0.0370957, 0.0115434, -0.999245)"
1,Right,"(2.73003, 351.822, 7.73093)","(0.0370611, 0.0109382, -0.999253)"
1,Right,"(2.18569, 351.706, 7.45021)","(0.0360834, 0.0130748, -0.999263)"
1,Right,"(1.7286, 351.601, 7.22545)","(0.0372379, 0.0118171, -0.999237)"
1,Right,"(1.15864, 351.612, 6.98418)","(0.0336682, 0.0189492, -0.999253)"
1,Right,"(0.736782, 351.126, 6.71798)","(0.0337761, 0.0134498, -0.999339)"
1,Right,"(0.220518, 350.948, 6.44141)","(0.0317357, 0.00962612, -0.99945)"
1,Right,"(-0.139205, 350.613, 6.19795)","(0.0340705, 0.00481779, -0.999408)"
1,Right,"(-0.792177, 350.33, 5.80005)","(0.0343055, 0.00757811, -0.999383)"
1,Right,"(-1.40328, 349.77, 5.4887)","(0.0308214, 0.00577669, -0.999508)"
1,Right,"(-1.90212, 349.137, 5.33937)","(0.032435, -0.0016097, -0.999473)"
1,Right,"(-2.48436, 348.881, 5.03024)","(0.0301511, 0.00132523, -0.999545)"
1,Right,"(-3.01082, 348.392, 4.78315)","(0.0310197, -0.00261091, -0.999515)"
1,Right,"(-4.48662, 347.992, 4.19693)","(0.0339127, -0.00179918, -0.999423)"
1,Right,"(-5.14637, 347.867, 4.00967)","(0.0277157, -0.00212554, -0.999614)"
1,Right,"(-5.86859, 347.592, 3.88799)","(0.0263922, -0.000373259, -0.999652)"
1,Right,"(-6.49952, 347.362, 3.76875)","(0.0283888, -0.00518379, -0.999584)"
1,Right,"(-7.18056, 347.149, 3.46916)","(0.0292352, 0.000728182, -0.999572)"
1,Right,"(-7.81329, 346.742, 3.34663)","(0.0292885, -0.00392152, -0.999563)"
1,Right,"(-8.61099, 346.405, 2.91782)","(0.0297572, -0.00612646, -0.999538)"
1,Right,"(-9.31281, 346.07, 2.72717)","(0.0305707, -0.0139895, -0.999435)"
1,Right,"(-10.3518, 345.665, 2.36684)","(0.0240006, -0.0106412, -0.999655)"
1,Right,"(-11.2065, 345.531, 2.12357)","(0.0214783, -0.00798897, -0.999737)"
